,Name,Image,Price,Link
35,Single Tiny Diamond Hoop,https://dto508s2j2p46.cloudfront.net/system/spree/products/9859/product/p52705456_Tiny_diamond_hoop_YG_angle.png?1574627115,130,mejuri.com/shop/products/tiny-diamond-hoop
36,Mini Lotus Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9914/product/mini-lotus-studs-cc.png?1574655438,110,mejuri.com/shop/products/mini-lotus-studs
37,Cluster Spheres Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9992/product/cluster-spheres-studs-cc.png?1574700781,90,mejuri.com/shop/products/cluster-sphere-studs
38,Sphere Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/10006/product/sphere-studs-cc.png?1574706714,50,mejuri.com/shop/products/golden-sphere-studs
39,Bold Sphere Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/10072/product/bold-sphere-studs-cc.png?1574868717,60,mejuri.com/shop/products/bold-sphere-studs
40,Spheres Bar Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9813/product/p052579_Bar_Sphere_Studs_YG_both.png?1574618405,90,mejuri.com/shop/products/bar-sphere-studs
41,Bar Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9815/product/p052664_Bar_Studs_YG_both.png?1574618498,90,mejuri.com/shop/products/bar-studs
42,Diamonds Bar Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/7834/product/diamond-bar-studs-cc.png?1559654141,220,mejuri.com/shop/products/diamonds-bar-studs
43,Diamond Mini Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9805/product/p000478_Diamond_Mini_Studs_YG_both.png?1574617993,240,mejuri.com/shop/products/mini-diamond-studs
44,Flower Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9823/product/p52505316_FlowerStuds_YG_both.png?1574619459,400,mejuri.com/shop/products/flower-studs
45,X Studs,https://dto508s2j2p46.cloudfront.net/system/spree/products/9882/product/p52505593_x_Studs_YG_both.png?1574628633,90,mejuri.com/shop/products/x-studs
